name	curated	frequency	examples
4zapa		2	4ZaPa-NR, 4ZaPa-NR-CV
f)		2	LANL2TZ(f)
5zapa		2	5ZaPa-NR, 5ZaPa-NR-CV
31+g*		2	6-31+G*, 6-31+G*-J
311+g*		2	6-311+G*, 6-311+G*-J
3df,3pd)		2	6-31G(3df,3pd)
l1		2	PAW-L1, PAW-L1-contracted
311++g**		2	6-311++G**, 6-311++G**-J
311+g		2	6-311+G, 6-311+G(2d,p)
zeta		2	Roos Augmented Double Zeta ANO, Roos Augmented Triple Zeta ANO
contracted		2	PAW-L1-contracted, PAW-L2-contracted
l2		2	PAW-L2
augmented		2	Roos Augmented Double Zeta ANO, Roos Augmented Triple Zeta ANO
rev2		2	pob-DZVP-rev2, pob-TZVP-rev2
mini		2	MINI, Scaled MINI
2zapa		2	2ZaPa-NR, 2ZaPa-NR-CV
dftjfit		2	dgauss-a2-dftjfit
1_2006		2	pcJ-1_2006
a1		2	dgauss-a1-dftjfit, dgauss-a1-dftxfit
0_2006		2	aug-pcJ-0_2006, pcJ-0_2006
pv8z		2	aug-mcc-pV8Z, cc-pV8Z
qzvppd		2	def2-QZVPPD, def2-QZVPPD-RIFIT
nrlmol		2	DFO+-NRLMOL
a2		2	dgauss-a2-dftjfit
vdzp		2	ANO-RCC-VDZP, Grimme vDZP
5+d)z		2	aug-cc-pV(5+d)Z, cc-pV(5+d)Z
svpd		2	def2-SVPD, def2-SVPD-RIFIT
s3		2	s3-21G, s3-21G*
tzvpd		2	def2-TZVPD
sarc		2	SARC-DKH2, SARC-ZORA
tzvppd		2	def2-TZVPPD, def2-TZVPPD-RIFIT
dftxfit		2	dgauss-a1-dftxfit, dgauss-a2-dftxfit
crenbl		2	CRENBL, CRENBL ECP
2_2006		2	aug-pcJ-2_2006, pcJ-2_2006
3_2006		2	aug-pcJ-3_2006, pcJ-3_2006
4_2006		2	aug-pcJ-4_2006, pcJ-4_2006
crenbs		2	CRENBS, CRENBS ECP
mtzvpp		2	def2-mTZVPP-RIJ
s6		2	s6-31G
l05		1	PAW-L05
polarized		1	SBKJC Polarized (p,2d) - LFK
ano2		1	NASA Ames ANO2
wachters+f		1	Wachters+f
nlo		1	NLO-V
p,2d)		1	SBKJC Polarized (p,2d) - LFK
orp		1	ORP
lfk		1	SBKJC Polarized (p,2d) - LFK
wtbs		1	WTBS
v		1	NLO-V
nmr		1	NMR-DKH (TZ2P)
tz2p)		1	NMR-DKH (TZ2P)
sz		1	SBO4-SZ-3G
triple		1	Roos Augmented Triple Zeta ANO
scaled		1	Scaled MINI
sap_helfem_large		1	sap_helfem_large
21g*		1	s3-21G*
mdzp		1	Pt - mDZP
pt		1	Pt - mDZP
2g		1	STO-2G
psbkjc		1	pSBKJC
sadlej		1	Sadlej pVTZ
sadlej+		1	Sadlej+
sap_grasp_large		1	sap_grasp_large
h		1	PB6-H
3g*		1	STO-3G*
sap_grasp_small		1	sap_grasp_small
sigmatzhf		1	sigmaTZHF
sigmadz		1	sigmaDZ
sigmatz		1	sigmaTZ
sap_helfem_small		1	sap_helfem_small
4g		1	STO-4G
5g		1	STO-5G
sigmaszhf		1	sigmaSZHF
6g		1	STO-6G
sigmaqz		1	sigmaQZ
sigmadzhf		1	sigmaDZHF
f2		1	PB4-F2
f1		1	PB4-F1
ugbs		1	UGBS
segmented		1	Stuttgart RSC Segmented + ECP
2zap		1	2ZaP
modified		1	modified-LANL2DZ
asigmatz		1	asigmaTZ
r2		1	ANO-R2
r3		1	ANO-R3
mb		1	ANO-RCC-MB
vqzp		1	ANO-RCC-VQZP
vtzp		1	ANO-RCC-VTZP
apr		1	apr-cc-pV(Q+d)Z
asigmadz		1	asigmaDZ
asigmaqz		1	asigmaQZ
cadpac		1	CADPAC-TZ2P
r0		1	ANO-R0
tz2p		1	CADPAC-TZ2P
pv9z		1	cc-pV9Z
cologne		1	Cologne DKH2
mtzvp		1	def2-mTZVP
rij		1	def2-mTZVPP-RIJ
qzvpd		1	def2-QZVPD
demon2k		1	deMon2k-DZVP-GGA
gga		1	deMon2k-DZVP-GGA
r1		1	ANO-R1
r		1	ANO-R
midix		1	MIDIX
311++g*		1	6-311++G*
3zap		1	3ZaP
4zap		1	4ZaP
5zap		1	5ZaP
31++g		1	6-31++G
31++g*		1	6-31++G*
31+g		1	6-31+G
31+g**		1	6-31+G**
2d,2p)		1	6-311++G(2d,2p)
2d,p)		1	6-311+G(2d,p)
tzv		1	Ahlrichs TZV
311+g**		1	6-311+G**
2df,2pd)		1	6-311G(2df,2pd)
311g*		1	6-311G*
311xxg		1	6-311xxG(d,p)
2df,p)		1	6-31G(2df,p)
6zap		1	6ZaP
6zapa		1	6ZaPa-NR
7zapa		1	7ZaPa-NR
dfo+		1	DFO+-NRLMOL
dzvp2		1	dgauss-dzvp2
aae2z		1	dyall-aae2z
a6zp		1	jorge-A6ZP
6z		1	FANO-6Z
grimme		1	Grimme vDZP
ii		1	IGLO-II
iii		1	IGLO-III
qz2p		1	jgauss-qz2p
tzp1		1	jgauss-tzp1
tzp2		1	jgauss-tzp2
a5zp		1	jorge-A5ZP
adzp		1	jorge-ADZP
aae3z		1	dyall-aae3z
aqzp		1	jorge-AQZP
koga		1	Koga unpolarized
unpolarized		1	Koga unpolarized
lanl08+		1	LANL08+
lanl2dzdp		1	LANL2DZdp
lanl2tz+		1	LANL2TZ+
midi		1	MIDI
midi!		1	MIDI!
8s8p8d		1	epc-8s8p8d
10s10p10d10f		1	epc-10s10p10d10f
v5z		1	dyall-v5z
v4z		1	dyall-v4z
aae4z		1	dyall-aae4z
aae5z		1	dyall-aae5z
acv5z		1	dyall-acv5z
ae2z		1	dyall-ae2z
ae3z		1	dyall-ae3z
ae4z		1	dyall-ae4z
ae5z		1	dyall-ae5z
av2z		1	dyall-av2z
av3z		1	dyall-av3z
av4z		1	dyall-av4z
av5z		1	dyall-av5z
cv2z		1	dyall-cv2z
cv3z		1	dyall-cv3z
cv4z		1	dyall-cv4z
cv5z		1	dyall-cv5z
v2z		1	dyall-v2z
v3z		1	dyall-v3z
bhs		1	DFO-1-BHS
