identifier	type	label	abbreviation	parent	description	has role	has family	has function type
BSEO:0000141	owl:Class	acv4z-J	acv4z-J	BSEO:0000004	acv4z-J basis for indirect nuclear spin-spin coupling	BSEO:0001005	BSEO:0002020	BSEO:0003079|BSEO:0003080
BSEO:0000142	owl:Class	admm-1	admm-1	BSEO:0000004	Auxiliary basis with diffuse functions for use with pcseg-1 and the Auxiliary-Density Matrix Method (ADMM)	BSEO:0001007	BSEO:0002021	BSEO:0003079
BSEO:0000143	owl:Class	admm-2	admm-2	BSEO:0000004	Auxiliary basis with diffuse functions for use with pcseg-2 and the Auxiliary-Density Matrix Method (ADMM)	BSEO:0001007	BSEO:0002021	BSEO:0003079|BSEO:0003080
BSEO:0000144	owl:Class	admm-3	admm-3	BSEO:0000004	Auxiliary basis with diffuse functions for use with pcseg-3 and the Auxiliary-Density Matrix Method (ADMM)	BSEO:0001007	BSEO:0002021	BSEO:0003079|BSEO:0003080
BSEO:0000145	owl:Class	AHGBS-5	AHGBS-5	BSEO:0000004	Hydrogenic Gaussian basis set formed at tolerance 10^{-5} without polarization, with more diffuse functions	BSEO:0001005	BSEO:0002022	BSEO:0003079|BSEO:0003080
BSEO:0000146	owl:Class	AHGBS-7	AHGBS-7	BSEO:0000004	Hydrogenic Gaussian basis set formed at tolerance 10^{-7} without polarization, with more diffuse functions	BSEO:0001005	BSEO:0002022	BSEO:0003079|BSEO:0003080
BSEO:0000147	owl:Class	AHGBS-9	AHGBS-9	BSEO:0000004	Hydrogenic Gaussian basis set formed at tolerance 10^{-9} without polarization, with more diffuse functions	BSEO:0001005	BSEO:0002022	BSEO:0003079|BSEO:0003080
BSEO:0000148	owl:Class	AHGBSP1-5	AHGBSP1-5	BSEO:0000004	Hydrogenic Gaussian basis set formed at tolerance 10^{-5} with 1 polarization shell, with more diffuse functions	BSEO:0001005	BSEO:0002022	BSEO:0003079|BSEO:0003080
BSEO:0000149	owl:Class	AHGBSP1-7	AHGBSP1-7	BSEO:0000004	Hydrogenic Gaussian basis set formed at tolerance 10^{-7} with 1 polarization shell, with more diffuse functions	BSEO:0001005	BSEO:0002022	BSEO:0003079|BSEO:0003080
BSEO:0000150	owl:Class	AHGBSP1-9	AHGBSP1-9	BSEO:0000004	Hydrogenic Gaussian basis set formed at tolerance 10^{-9} with 1 polarization shell, with more diffuse functions	BSEO:0001005	BSEO:0002022	BSEO:0003079|BSEO:0003080
BSEO:0000151	owl:Class	AHGBSP2-5	AHGBSP2-5	BSEO:0000004	Hydrogenic Gaussian basis set formed at tolerance 10^{-5} with 2 polarization shells, with more diffuse functions	BSEO:0001005	BSEO:0002022	BSEO:0003079|BSEO:0003080
BSEO:0000152	owl:Class	AHGBSP2-7	AHGBSP2-7	BSEO:0000004	Hydrogenic Gaussian basis set formed at tolerance 10^{-7} with 2 polarization shells, with more diffuse functions	BSEO:0001005	BSEO:0002022	BSEO:0003079|BSEO:0003080
BSEO:0000153	owl:Class	AHGBSP2-9	AHGBSP2-9	BSEO:0000004	Hydrogenic Gaussian basis set formed at tolerance 10^{-9} with 2 polarization shells, with more diffuse functions	BSEO:0001005	BSEO:0002022	BSEO:0003079|BSEO:0003080
BSEO:0000154	owl:Class	AHGBSP3-5	AHGBSP3-5	BSEO:0000004	Hydrogenic Gaussian basis set formed at tolerance 10^{-5} with 3 polarization shells, with more diffuse functions	BSEO:0001005	BSEO:0002022	BSEO:0003079|BSEO:0003080
BSEO:0000155	owl:Class	AHGBSP3-7	AHGBSP3-7	BSEO:0000004	Hydrogenic Gaussian basis set formed at tolerance 10^{-7} with 3 polarization shells, with more diffuse functions	BSEO:0001005	BSEO:0002022	BSEO:0003079|BSEO:0003080
BSEO:0000156	owl:Class	AHGBSP3-9	AHGBSP3-9	BSEO:0000004	Hydrogenic Gaussian basis set formed at tolerance 10^{-9} with 3 polarization shells, with more diffuse functions	BSEO:0001005	BSEO:0002022	BSEO:0003079|BSEO:0003080
BSEO:0000157	owl:Class	Ahlrichs pVDZ	Ahlrichs pVDZ	BSEO:0000004	VDZP    Valence Double Zeta + Polarization on All Atoms	BSEO:0001005	BSEO:0002023	BSEO:0003079|BSEO:0003080
BSEO:0000158	owl:Class	Ahlrichs TZV	Ahlrichs TZV	BSEO:0000004	VTZ     Valence Triple Zeta: 3 Funct.'s/Valence AO	BSEO:0001005	BSEO:0002023	BSEO:0003079|BSEO:0003080
